image_path,person_id,score,xmin,ymin,xmax,ymax
../archive/frames/frames/seq_000001.jpg,Person1,0.87122923,0.68056595,0.70049655,0.77055407,0.99242246
../archive/frames/frames/seq_000001.jpg,Person2,0.7856597,0.5971229,0.72778624,0.6843139,0.99041766
../archive/frames/frames/seq_000001.jpg,Person3,0.7426674,0.1609594,0.3726912,0.21397889,0.56241137
../archive/frames/frames/seq_000001.jpg,Person4,0.7043274,0.8459976,0.78318185,0.9214468,0.9936384
../archive/frames/frames/seq_000001.jpg,Person5,0.6733906,0.7649024,0.85662997,0.85228616,0.99759305
../archive/frames/frames/seq_000001.jpg,Person6,0.67108667,0.1897859,0.7304575,0.26564115,0.9967431
../archive/frames/frames/seq_000001.jpg,Person7,0.633107,0.2570231,0.25779134,0.3017614,0.4046021
../archive/frames/frames/seq_000001.jpg,Person8,0.63260126,0.09768087,0.34878045,0.15862289,0.56297046
../archive/frames/frames/seq_000001.jpg,Person9,0.5673723,0.28660733,0.33744404,0.3299917,0.51225555
../archive/frames/frames/seq_000001.jpg,Person10,0.5406739,0.848334,0.2615668,0.92259675,0.45964417
../archive/frames/frames/seq_000001.jpg,Person11,0.45462453,0.56936145,0.48730367,0.6223502,0.7007123
../archive/frames/frames/seq_000001.jpg,Person12,0.451234,0.32309663,0.4600262,0.37377322,0.55037636
../archive/frames/frames/seq_000001.jpg,Person13,0.42755026,0.35907155,0.42243418,0.40451235,0.5468993
../archive/frames/frames/seq_000001.jpg,Person14,0.3988037,0.2305273,0.10871184,0.2586259,0.23061657
../archive/frames/frames/seq_000001.jpg,Person15,0.35291645,0.80738837,0.22703943,0.85082656,0.40240547
../archive/frames/frames/seq_000001.jpg,Person16,0.3317881,0.48106784,0.4920041,0.53605956,0.7410767
../archive/frames/frames/seq_000001.jpg,Person17,0.28244615,0.29785097,0.18555629,0.3203774,0.26756972
../archive/frames/frames/seq_000001.jpg,Person18,0.2727241,0.21210489,0.10421823,0.24067113,0.23164514
